descricao;clean
GEL P/ ECG 100GR;7898107240268
GEL P/ ULTRASSON GALAO 5 L;7898225390289
GEL P/ULTRASSON/ECOCARDIOGRAMA C/05 KG MULTIGEL;7898924950081
PASTA P/ ECG 100GR-MULTIGEL;7898924950203
GEL P/ ULTRASSON 5000GR(TRANSP)-CARBOGEL;7898107240022
GEL ULTRASSOM 5000 GR (I);7898924950081
GEL P/ULTRAS./ ECOCARDIOG. BOLSA C/05 KG MULTIGEL;7898924950098
GEL ULTRASSOM 1000 GR (I);7898924950036
GEL ULTRASSOM 100 GR (I);7898924950029
PASTA P/ ECG 100GR C/112 -CARBOGEL;7898107240268
GEL P/ULTRASSON/ECOCARDIOGRAMA C/100GR MULTIGEL;7898924950029
GEL PARA ECG 100ML;7898284483434
GEL CLINICO 5 KG GALAO RMC;7898930423388
OLLA GEL LUBRIF INTIMO BG 70GR-DEMAIS PROD;7896222718822
K-MED ROCKETTS GEL 100 GR ESPANHOLA;7899785200919
LUBRIFICANTE INTIMO EASY GEL 50 GR TEUTO;7896112152729
PASTA GEL P/ ULTRASSONOGRAFIA 100ML CARBOGEL;7898107240046
PASTA GEL PARA ELETROCARDIOGRAFIA 100ML CARBOGEL;7898107240268
GEL CLINICO BAG 5KG(SACH̻) RMC;7898930420035
GEL P/ULTRASSON 5 LITROS EM BOLSA (BAG) - UN COM 1 LT;7898107240107
GEL P/ ECG;7898901080145
GEL K-MED JOY 200ML;7896523210582
GEL P/ ULTRASSOM 5KG ULTRA-GEL MULTIGEL (1);7898924950081
GEL PULTRASSONOGRAFIA 300ML MULTIGEL;7898924950012
GEL PULTRASSONOGRAFIA 1KG MULTIGEL;7898924950036
CIPROFIBRATO 100MG COMPR C30 MEDLEY;7891058001612
K-Y GEL LUBRIF INTIMO 100G;7897211100208
GEL P/ ECG 100GR CARBOGEL IND E COMERCIO LTDA;7898107240268
GEL PARA ULTRASSONOGRAFIA;7898924950012
GEL PECG 100GR MULTIGEL;7898924950012
GEL PULTRASSONOGRAFIA 2LTS MULTIGEL;7898924950050
PLURIGEL - BUJAO 5KG;7898107240510
K-MED ROCKETT MENTA REFRESCANTE 100GR;7899785200520
