,CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
1161,700886,2018-02-06,N/I,AMP,300.0,1.85,HIOSCINA COMPOSTA BUTILBROMETO DE ESCOPOLAMINA4MG/ML + DIPIRONA SODICA500MG/ML INJ 5ML HYPOCINA HYPOFARMA,7898122910894
1179,700889,2018-02-27,N/I,AMP,200.0,1.85,HIOSCINA COMPOSTA BUTILBROMETO DE ESCOPOLAMINA4MG/ML + DIPIRONA SODICA500MG/ML INJ 5ML HYPOCINA HYPOFARMA,7898122910894
1281,701067,2018-04-16,N/I,CX,3.0,222.46,BUTIL. DE ESCOPOLAMINA 4MG + DIPIRONA 500MG (B. COMP.) CX/ 100 AMP. 5ML SOL. INJ,-1
1283,701069,2018-04-16,N/I,CX,3.0,222.46,BUTIL. DE ESCOPOLAMINA 4MG + DIPIRONA 500MG (B. COMP.) CX/ 100 AMP. 5ML SOL. INJ,-1
1421,702224,2018-07-18,Natal,compri,120.0,0.7,ESCOPOLAMINA BUTILBROMETO + DIPIRONA SODICA 10MG+250MG,N/I
1755,709376,2018-01-12,N/I,UN,50.0,3.3,DIPIRONA Gts 10ml *GENERICO*,7896004715841
1892,709655,2018-01-05,N/I,CX,2.0,109.0,BUTIL.ESCOP.+DIPIR.100AMP 5ML GEN- HIPOLABOR LT H05417 (2)07/19,7898123906759
1911,709666,2018-01-09,N/I,CX,13.0,109.0,BUTIL.ESCOP.+DIPIR.100AMP 5ML GEN- HIPOLABOR LT H05417 (13)07/19,7898123906759
2277,710645,2018-01-09,N/I,CP,2000.0,0.076,"DIPIRONA SODICA 500MG (PRATI DONADUZZI)  (ITEM GENERICO) L: 17J19G Q:    2.000,0000 V: 31/10/19",7898148294121
2376,710965,2018-02-19,N/I,AMP,20000.0,0.327,DIPIRONA SODICA 500MG/ML IM/IV CX 100AMP 2ML   SANTIDOR,7898404220147
2377,710965,2018-02-19,N/I,AMP,20000.0,0.327,DIPIRONA SODICA 500MG/ML IM/IV CX 100AMP 2ML   SANTIDOR,7898404220147
2442,711411,2018-02-06,N/I,AP,22800.0,0.33,DIPIRONA 500MG/ML 2 ML INJ. (DIPIFARMA) FARMACE Lote: DP17I189 Dt. Validade: 01/09/2019,7898166041004
2463,711414,2018-02-09,N/I,FR,120.0,2.4,DIPIRONA 500MG 10ML GTS GEN SOBRAL Lote: G17253 Dt. Validade: 01/07/2019,7897732601871
2668,712145,2018-02-06,N/I,CX1_,2.0,129.58,"BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA GEN 20MG/5ML+2,5G/5ML INJ CX C/100 AMP 5 ML",7898123906759
2911,712792,2018-03-29,N/I,AMP,3000.0,0.3375,DIPIRONA SODICA 500MG/ML IM/IV CX 100AMP 2ML   SANTIDOR,7898404220147
3348,714167,2018-03-05,N/I,CX,6.0,127.22,"BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA GEN 20MG/5ML+2,5G/5ML INJ CX C/100 AMP 5 ML",N/I
3471,714459,2018-03-07,N/I,CP,3000.0,0.09,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 18B196 Q:    3.000,0000 V: 02/02/20",7898148294121
